file_type,relative_path,line_count
R,01-scrna-qc/scripts/03-calculate_metrics.R,175
R,02-annotation/scripts/01-HS_BM_manual_annotation.R,227
R,02-annotation/scripts/02-HS_BM_auto_annotation-part1.R,68
R,02-annotation/scripts/03-HS_BM_auto_annotation-part2.R,173
R,02-annotation/scripts/04-HS_BM_auto_resolution.R,189
R,02-annotation/scripts/05-HS_PBMC_auto_run.R,190
R,03-integration/scripts/01-check-batch-effect.R,73
R,03-integration/scripts/02-inter-rpca.R,65
R,03-integration/scripts/03-inter-harmony.R,59
R,03-integration/scripts/04-save-data.R,31
R,04-grn/scripts/01-metacell.R,324
R,04-grn/scripts/02-regulon_activity_score.R,85
R,04-grn/scripts/03-unsupervised_partI.R,252
R,04-grn/scripts/03-unsupervised_partII.R,118
R,04-grn/scripts/04-hypothesis_driven_partI.R,342
R,04-grn/scripts/04-hypothesis_driven_partII.R,165
R,04-grn/scripts/04-hypothesis_driven_partIII.R,221
R,04-grn/scripts/04-hypothesis_driven_partIV.R,217
R,04-grn/scripts/05-cell_type_specific_regulon.R,66
R,04-grn/scripts/06-screen_TFs_for_given_target.R,222
R,05-from-pathway-to-program/scripts/02-interpret_cNMF_results_part1.R,106
R,05-from-pathway-to-program/scripts/02-interpret_cNMF_results_part2.R,45
R,05-from-pathway-to-program/scripts/03-pathway_activity.R,114
R,05-from-pathway-to-program/scripts/04-metabolisum_activity.R,84
R,06-lr-pairs/scripts/01-data-summary.R,56
R,06-lr-pairs/scripts/02-epithelial-prepare.R,67
R,06-lr-pairs/scripts/03-cellchat-standard.R,118
R,06-lr-pairs/scripts/04-cellchat-visualize.R,93
R,06-lr-pairs/scripts/05-cellchat-stage-compare-LRnum.R,164
R,06-lr-pairs/scripts/05-cellchat-stage-compare-weight.R,187
R,06-lr-pairs/scripts/06-cellchat-lr-focus.R,180
R,06-lr-pairs/scripts/07-cellchat-lr-avg-barplot.R,146
R,07-trajectory/scripts/01-trajectory-dr-fdg-dims.R,117
R,07-trajectory/scripts/01-trajectory-dr-fdg-k.R,111
R,07-trajectory/scripts/01-trajectory-dr.R,147
R,07-trajectory/scripts/02-lineage-picker.R,38
R,07-trajectory/scripts/03-lineage-mst.R,159
R,07-trajectory/scripts/04-1-lineage-pcurve-Mega.R,75
R,07-trajectory/scripts/04-2-lineage-pcurve-Ery.R,75
R,07-trajectory/scripts/04-3-lineage-pcurve-Mono.R,75
R,07-trajectory/scripts/04-4-lineage-pcurve-CLP.R,75
R,07-trajectory/scripts/04-4-lineage-pcurve-pDC.R,75
R,07-trajectory/scripts/05-1-dynamic-genes-Mega.R,180
R,07-trajectory/scripts/05-2-dynamic-genes-Ery.R,138
R,07-trajectory/scripts/06-nmf-imputation.R,78
R,07-trajectory/scripts/07-1-dynamic-module-Ery.R,294
R,07-trajectory/scripts/07-2-dynamic-module-Mega.R,277
R,07-trajectory/scripts/08-1-gene-module-function-Ery.R,78
R,07-trajectory/scripts/08-2-gene-module-function-Mega.R,78
R,07-trajectory/scripts/09-1-gene-module-regulators-Ery.R,119
R,07-trajectory/scripts/09-2-gene-module-regulators-Mega.R,119
Python,04-grn/scripts/02-regulon2gmt.py,42
Bash,01-scrna-qc/scripts/01-cellranger.sh,37
Bash,01-scrna-qc/scripts/02-starsolo.sh,86
Bash,04-grn/scripts/02-run_pyscenic.sh,53
Notebook,03-integration/scripts/05-inter-scvi.ipynb,457
Notebook,03-integration/scripts/06-inter-scanvi.ipynb,384
Notebook,03-integration/scripts/07-inter-bbknn.ipynb,231
Notebook,05-from-pathway-to-program/scripts/01-run_cNMF.ipynb,1259
